Source,Target,Distancia,Peso_Source,Peso_Target
1067748558.0,1722356998.0,7167.376000000001,1.0,1.0
1067748558.0,1722357024.0,7189.472000000001,1.0,2.0
1067748558.0,1722357030.0,7828.877000000001,1.0,1.0
1067748558.0,1722357087.0,7742.792000000001,1.0,1.0
1067748558.0,1723199177.0,7149.420000000002,1.0,1.0
1067748558.0,3182669297.0,1145.79,1.0,1.0
1067748558.0,3589901740.0,2651.4659999999994,1.0,2.0
1067748558.0,3589971252.0,1835.8220000000001,1.0,1.0
1067748558.0,3648081932.0,2070.6859999999997,1.0,2.0
1067748558.0,3648084762.0,2118.697,1.0,1.0
1067748558.0,3710970920.0,2038.0290000000002,1.0,3.0
1067748558.0,3877613725.0,6870.368999999999,1.0,1.0
1067748558.0,4285277775.0,6458.074,1.0,1.0
1067748558.0,6270810586.0,7137.872000000002,1.0,5.0
1067748558.0,6929449053.0,6020.794999999999,1.0,1.0
1067748558.0,6945912850.0,1840.4869999999996,1.0,1.0
1067748558.0,6948462876.0,7270.834999999999,1.0,2.0
1067748558.0,6948976937.0,979.3609999999999,1.0,4.0
1067748558.0,6950023886.0,2440.236,1.0,1.0
1067748558.0,6950806723.0,5703.788999999997,1.0,2.0
1067748558.0,6950853769.0,2483.247,1.0,1.0
1067748558.0,6950857512.0,1541.5660000000003,1.0,2.0
1067748558.0,7069614076.0,3608.365,1.0,1.0
1067748558.0,8518750867.0,3636.4069999999997,1.0,1.0
1067748558.0,8629532349.0,4456.732,1.0,1.0
1067748558.0,8720034349.0,8834.271,1.0,1.0
1067748702.0,1067748843.0,98.87,6.0,2.0
1067748702.0,1067748884.0,2057.923,6.0,1.0
1067748702.0,1067748930.0,2180.026,6.0,1.0
1067748702.0,1673568513.0,3393.8049999999994,6.0,1.0
1067748702.0,1673621014.0,2175.4750000000004,6.0,10.0
1067748702.0,1673621341.0,2226.4340000000007,6.0,2.0
1067748702.0,1673621519.0,4270.648,6.0,1.0
1067748702.0,1673707915.0,2074.6609999999996,6.0,1.0
1067748702.0,1673708145.0,1509.688,6.0,1.0
1067748702.0,1673708270.0,3385.107999999999,6.0,1.0
1067748702.0,1673708443.0,3887.659,6.0,2.0
1067748702.0,1684682903.0,4823.187999999999,6.0,1.0
1067748702.0,1685344795.0,2675.2079999999996,6.0,2.0
1067748702.0,1687996037.0,1228.584,6.0,1.0
1067748702.0,1700532493.0,5023.0740000000005,6.0,1.0
1067748702.0,1700543317.0,1947.5030000000004,6.0,1.0
1067748702.0,1701116404.0,5560.294000000002,6.0,2.0
1067748702.0,1706580382.0,2335.249,6.0,1.0
1067748702.0,1710105237.0,5559.109,6.0,1.0
1067748702.0,1710115604.0,6446.9929999999995,6.0,1.0
1067748702.0,1710134589.0,6687.055999999998,6.0,2.0
1067748702.0,1710134592.0,6408.278000000001,6.0,1.0
1067748702.0,1710508913.0,6105.853,6.0,2.0
1067748702.0,1711780123.0,1866.6520000000003,6.0,5.0
1067748702.0,1711846561.0,1657.013,6.0,1.0
1067748702.0,1712774117.0,3565.479,6.0,2.0
1067748702.0,1712842203.0,3862.8480000000004,6.0,1.0
1067748702.0,1713309021.0,3787.559,6.0,1.0
1067748702.0,1719383814.0,4130.555000000001,6.0,1.0
1067748702.0,1720638931.0,5743.455000000002,6.0,4.0
1067748702.0,1720639041.0,5437.369000000001,6.0,1.0
1067748702.0,1721068672.0,7515.189999999996,6.0,11.0
1067748702.0,1721897516.0,7270.8359999999975,6.0,1.0
1067748702.0,1722356998.0,5123.152999999999,6.0,1.0
1067748702.0,1722357024.0,5145.248999999999,6.0,2.0
1067748702.0,1722357030.0,5747.165999999999,6.0,1.0
1067748702.0,1722357087.0,5661.080999999999,6.0,1.0
1067748702.0,1723199177.0,5579.658000000001,6.0,1.0
1067748702.0,3182669297.0,2068.985,6.0,1.0
1067748702.0,3589901740.0,2082.8070000000002,6.0,2.0
1067748702.0,3589971252.0,2255.0989999999997,6.0,1.0
1067748702.0,3648081932.0,2447.0119999999997,6.0,2.0
1067748702.0,3648084762.0,2256.7549999999997,6.0,1.0
1067748702.0,3710970920.0,1460.6670000000001,6.0,3.0
1067748702.0,3877613725.0,3962.446000000001,6.0,1.0
1067748702.0,4285277775.0,3550.151,6.0,1.0
1067748702.0,6270810586.0,4874.2750000000015,6.0,5.0
1067748702.0,6929449053.0,4442.622,6.0,1.0
1067748702.0,6945912850.0,2870.928999999999,6.0,1.0
1067748702.0,6948462876.0,4362.911999999999,6.0,2.0
1067748702.0,6948976937.0,2944.4909999999995,6.0,4.0
1067748702.0,6950023886.0,2784.5859999999993,6.0,1.0
1067748702.0,6950806723.0,2795.866000000001,6.0,2.0
1067748702.0,6950853769.0,881.612,6.0,1.0
1067748702.0,6950857512.0,1641.438,6.0,2.0
1067748702.0,7069614076.0,3131.9739999999997,6.0,1.0
1067748702.0,8518750867.0,3197.2539999999995,6.0,1.0
1067748702.0,8629532349.0,3652.448000000001,6.0,1.0
1067748702.0,8720034349.0,5926.587,6.0,1.0
1067748843.0,1067748884.0,1959.0529999999999,2.0,1.0
1067748843.0,1067748930.0,2081.156,2.0,1.0
1067748843.0,1673568513.0,3492.675,2.0,1.0
1067748843.0,1673621014.0,2076.6050000000005,2.0,10.0
1067748843.0,1673621341.0,2127.564,2.0,2.0
1067748843.0,1673621519.0,4171.778,2.0,1.0
1067748843.0,1673707915.0,2173.5309999999995,2.0,1.0
1067748843.0,1673708145.0,1410.8180000000002,2.0,1.0
1067748843.0,1673708270.0,3286.237999999999,2.0,1.0
1067748843.0,1673708443.0,3788.789,2.0,2.0
1067748843.0,1684682903.0,4922.057999999999,2.0,1.0
1067748843.0,1685344795.0,2774.078,2.0,2.0
1067748843.0,1687996037.0,1129.7140000000002,2.0,1.0
1067748843.0,1700532493.0,5121.944000000001,2.0,1.0
1067748843.0,1700543317.0,2046.3730000000003,2.0,1.0
1067748843.0,1701116404.0,5461.424000000001,2.0,2.0
1067748843.0,1706580382.0,2236.379,2.0,1.0
1067748843.0,1710105237.0,5460.239,2.0,1.0
1067748843.0,1710115604.0,6348.123,2.0,1.0
1067748843.0,1710134589.0,6588.185999999998,2.0,2.0
1067748843.0,1710134592.0,6309.408000000001,2.0,1.0
1067748843.0,1710508913.0,6006.983,2.0,2.0
1067748843.0,1711780123.0,1965.5220000000002,2.0,5.0
1067748843.0,1711846561.0,1755.8829999999998,2.0,1.0
1067748843.0,1712774117.0,3664.349,2.0,2.0
1067748843.0,1712842203.0,3961.7180000000008,2.0,1.0
1067748843.0,1713309021.0,3886.4290000000005,2.0,1.0
1067748843.0,1719383814.0,4229.425000000001,2.0,1.0
1067748843.0,1720638931.0,5842.325000000002,2.0,4.0
1067748843.0,1720639041.0,5536.239000000001,2.0,1.0
1067748843.0,1721068672.0,7614.059999999996,2.0,11.0
1067748843.0,1721897516.0,7369.705999999997,2.0,1.0
1067748843.0,1722356998.0,5222.022999999999,2.0,1.0
1067748843.0,1722357024.0,5244.118999999999,2.0,2.0
1067748843.0,1722357030.0,5846.035999999999,2.0,1.0
1067748843.0,1722357087.0,5759.950999999999,2.0,1.0
1067748843.0,1723199177.0,5678.528000000002,2.0,1.0
1067748843.0,3182669297.0,1970.1150000000002,2.0,1.0
1067748843.0,3589901740.0,1983.9370000000001,2.0,2.0
1067748843.0,3589971252.0,2156.229,2.0,1.0
1067748843.0,3648081932.0,2348.142,2.0,2.0
1067748843.0,3648084762.0,2157.8849999999998,2.0,1.0
1067748843.0,3710970920.0,1361.797,2.0,3.0
1067748843.0,3877613725.0,4061.316000000001,2.0,1.0
1067748843.0,4285277775.0,3649.021,2.0,1.0
1067748843.0,6270810586.0,4973.145000000001,2.0,5.0
1067748843.0,6929449053.0,4541.492,2.0,1.0
1067748843.0,6945912850.0,2772.0589999999993,2.0,1.0
1067748843.0,6948462876.0,4461.781999999999,2.0,2.0
1067748843.0,6948976937.0,2845.6209999999996,2.0,4.0
1067748843.0,6950023886.0,2685.7159999999994,2.0,1.0
1067748843.0,6950806723.0,2894.7360000000012,2.0,2.0
1067748843.0,6950853769.0,980.4819999999999,2.0,1.0
1067748843.0,6950857512.0,1542.5680000000002,2.0,2.0
1067748843.0,7069614076.0,3230.8439999999996,2.0,1.0
1067748843.0,8518750867.0,3296.1239999999993,2.0,1.0
1067748843.0,8629532349.0,3751.3180000000016,2.0,1.0
1067748843.0,8720034349.0,6025.457000000001,2.0,1.0
1067748884.0,1067748930.0,389.10299999999995,1.0,1.0
1067748884.0,1673568513.0,5080.65,1.0,1.0
1067748884.0,1673621014.0,1076.879,1.0,10.0
1067748884.0,1673621341.0,907.5469999999999,1.0,2.0
1067748884.0,1673621519.0,2812.373,1.0,1.0
1067748884.0,1673707915.0,2491.6589999999997,1.0,1.0
1067748884.0,1673708145.0,1321.1760000000002,1.0,1.0
1067748884.0,1673708270.0,1327.1849999999997,1.0,1.0
1067748884.0,1673708443.0,1829.7359999999999,1.0,2.0
1067748884.0,1684682903.0,6545.903,1.0,1.0
1067748884.0,1685344795.0,4733.131,1.0,2.0
1067748884.0,1687996037.0,1366.1309999999999,1.0,1.0
1067748884.0,1700532493.0,7080.996999999999,1.0,1.0
1067748884.0,1700543317.0,3616.7250000000004,1.0,1.0
1067748884.0,1701116404.0,3502.371,1.0,2.0
1067748884.0,1706580382.0,2463.79,1.0,1.0
